# Frequency Average_Intensity Standard_Deviation
1.627792784576000258e+03 2.757418995658081568e-04 2.788269925365080906e-04
1.632240305845333523e+03 2.955272371776004946e-04 2.946551875582187428e-04
1.636687827114666788e+03 3.143260034687580758e-04 3.078324070206128141e-04
1.641135348384000054e+03 3.320724473311636895e-04 3.180068122292316443e-04
1.645582869653333319e+03 3.487972239843312194e-04 3.253029855585914129e-04
1.650030390922666584e+03 3.645457220210293636e-04 3.303629089966179998e-04
1.654477912192000304e+03 3.793149777832162178e-04 3.342365455165603803e-04
1.658925433461333569e+03 3.930161638450663589e-04 3.380763905056194114e-04
1.663372954730666834e+03 4.054707292538539784e-04 3.427077935135661451e-04
1.667820476000000099e+03 4.164414966810360140e-04 3.482674531246257436e-04
1.672267997269333364e+03 4.256848441265122999e-04 3.541221578235806021e-04
1.676715518538666856e+03 4.330165743981780448e-04 3.591387609541989070e-04
1.681163039808000121e+03 4.383672903457572559e-04 3.621640332908899530e-04
1.685610561077333386e+03 4.418164166767171502e-04 3.624918534299507826e-04
1.690058082346666879e+03 4.435908726175720050e-04 3.601500089084018474e-04
1.694505603616000144e+03 4.440279401890117640e-04 3.559434383552419201e-04
1.698953124885333636e+03 4.435068865655126050e-04 3.512604827955911522e-04
1.703400646154666902e+03 4.423673274820012487e-04 3.476822779836760452e-04
1.707848167424000167e+03 4.408276592832202742e-04 3.464746994954021834e-04
1.712295688693333432e+03 4.389300554447321664e-04 3.481144868684152207e-04
