# Frequency Average_Intensity Standard_Deviation
3.273375654229333577e+03 1.659297523812868332e-05 3.454726865649375350e-06
3.282270696768000107e+03 1.753226767311668788e-05 3.736192221190542136e-06
3.291165739306666637e+03 1.853618409606271134e-05 4.022252279297986843e-06
3.300060781845333167e+03 1.960832808319860156e-05 4.324238292050650479e-06
3.308955824384000607e+03 2.075532216066488196e-05 4.655447670570371505e-06
3.317850866922667137e+03 2.198685792732048326e-05 5.024298916339806957e-06
3.326745909461333667e+03 2.331494140799753051e-05 5.428659888547997684e-06
3.335640952000000198e+03 2.475236360717796605e-05 5.853474316614023875e-06
3.344535994538666728e+03 2.631052117985176509e-05 6.272284678404033626e-06
3.353431037077333713e+03 2.799733700895625361e-05 6.651821481743368702e-06
3.362326079616000243e+03 2.981574555093848212e-05 6.958597893948393615e-06
3.371221122154666773e+03 3.176370771207836038e-05 7.167107003342477920e-06
3.380116164693333758e+03 3.383588025484614997e-05 7.269184990305372929e-06
3.389011207232000288e+03 3.602708474706240772e-05 7.283589016531511472e-06
3.397906249770667273e+03 3.833702122246932062e-05 7.262970482847260833e-06
3.406801292309333803e+03 4.077560176550643176e-05 7.292675057367928363e-06
3.415696334848000333e+03 4.336718446855279192e-05 7.473049973993369085e-06
3.424591377386666863e+03 4.615308789870311044e-05 7.883956029950470789e-06
